Aguilares	Aguilares	-27.4338	-65.61427	AR	32494
Villa Santa Rita	Villa Santa Rita	-34.61082	-58.481	AR	34000
Villa Mercedes	Villa Mercedes	-33.67571	-65.45783	AR	96781
San Carlos de Bariloche	San Carlos de Bariloche	-41.14557	-71.30822	AR	95394
Adrogué	Adrogue	-34.80041	-58.38384	AR	28265
Pago Pago	Pago Pago	-14.27806	-170.7025	AS	11500
Wolfsberg	Wolfsberg	46.84056	14.84417	AT	25610
Wiener Neustadt	Wiener Neustadt	47.8	16.25	AT	38481
Vienna	Vienna	48.20849	16.37208	AT	1691468
Wels	Wels	48.16667	14.03333	AT	57946
Weinzierl bei Krems	Weinzierl bei Krems	48.4	15.6	AT	24092
Villach	Villach	46.61028	13.85583	AT	58882
Traun	Traun	48.22656	14.23459	AT	23959
Traiskirchen	Traiskirchen	48.01485	16.29324	AT	16212
Ternitz	Ternitz	47.71565	16.03575	AT	15153
Steyr	Steyr	48.04274	14.42127	AT	39566
Spittal an der Drau	Spittal an der Drau	46.8	13.5	AT	16363
Schwechat	Schwechat	48.13333	16.46667	AT	15711
Sankt Pölten	Sankt Poelten	48.2	15.63333	AT	49001
Salzburg	Salzburg	47.79941	13.04399	AT	150269
Saalfelden am Steinernen Meer	Saalfelden am Steinernen Meer	47.42681	12.848	AT	16119
Mödling	Modling	48.08605	16.28921	AT	20710
Lustenau	Lustenau	47.42642	9.65851	AT	20218
Linz	Linz	48.30639	14.28611	AT	181162
Leonding	Leonding	48.27965	14.2533	AT	22736
Leoben	Leoben	47.3765	15.09144	AT	24809
Kufstein	Kufstein	47.58333	12.16667	AT	16115
Krems an der Donau	Krems an der Donau	48.40921	15.61415	AT	23932
Klosterneuburg	Klosterneuburg	48.30521	16.32522	AT	24843
Klagenfurt am Wörthersee	Klagenfurt am Woerthersee	46.62472	14.30528	AT	90610
Kapfenberg	Kapfenberg	47.44458	15.29331	AT	21819
Innsbruck	Innsbruck	47.26266	11.39454	AT	112467
Hallein	Hallein	47.68333	13.1	AT	18980
Graz	Graz	47.06667	15.45	AT	222326
Feldkirch	Feldkirch	47.23306	9.6	AT	31082
Dornbirn	Dornbirn	47.41427	9.74195	AT	43013
Bregenz	Bregenz	47.50311	9.7471	AT	27611
Braunau am Inn	Braunau am Inn	48.25628	13.04343	AT	16403
Baden	Baden	48.00543	16.23264	AT	24893
Amstetten	Amstetten	48.1229	14.87206	AT	22832
Ansfelden	Ansfelden	47.965	13.04944	AT	15673
Whyalla	Whyalla	-33.03268	137.56483	AU	19645
Rockingham	Rockingham	-32.27682	115.72978	AU	108022
Prospect	Prospect	-34.88241	138.5933	AU	20217
Port Hedland	Port Hedland	-20.31215	118.61059	AU	15044
Perth	Perth	-31.95224	115.8614	AU	1896548
Murray Bridge	Murray Bridge	-35.11986	139.27345	AU	19577
Mount Isa	Mount Isa	-20.72523	139.49727	AU	22785
Morphett Vale	Morphett Vale	-35.13333	138.51667	AU	22602
Mandurah	Mandurah	-32.5269	115.7217	AU	83294
Kwinana	Kwinana	-32.23013	115.78128	AU	30433
Kalgoorlie	Kalgoorlie	-30.74614	121.4742	AU	31107
Gosnells	Gosnells	-32.081	116.0054	AU	17277
Geraldton	Geraldton	-28.77897	114.61459	AU	26872
Gawler	Gawler	-34.60251	138.74902	AU	20006
Fremantle	Fremantle	-32.05	115.76667	AU	24835
Darwin	Darwin	-12.46113	130.84185	AU	129062
Busselton	Busselton	-33.65249	115.3455	AU	21898
Bunbury	Bunbury	-33.32711	115.64137	AU	68248
Armadale	Armadale	-32.14607	116.0093	AU	62296
Alice Springs	Alice Springs	-23.69748	133.88362	AU	25186
Albany	Albany	-35.0031	117.86595	AU	33650
Adelaide	Adelaide	-34.92866	138.59863	AU	1225235
Woodridge	Woodridge	-27.63333	153.1	AU	20650
Wodonga	Wodonga	-36.12179	146.88809	AU	31605
Werribee	Werribee	-37.9	144.66667	AU	37737
Warrnambool	Warrnambool	-38.38176	142.48799	AU	33982
Wantirna South	Wantirna South	-37.88333	145.21667	AU	17477
Wangaratta	Wangaratta	-36.35846	146.32056	AU	16845
Wagga Wagga	Wagga Wagga	-35.12577	147.35375	AU	46913
Traralgon	Traralgon	-38.19528	146.5415	AU	21960
Townsville	Townsville	-19.26639	146.80569	AU	196219
Toowoomba	Toowoomba	-27.56056	151.95386	AU	131258
Thornbury	Thornbury	-37.75	145	AU	17434
Thomastown	Thomastown	-37.68333	145.01667	AU	20331
Tarneit	Tarneit	-37.86667	144.66667	AU	21690
Taree	Taree	-31.91099	152.45387	AU	16621
Tamworth	Tamworth	-31.09048	150.92905	AU	47597
Sydney	Sydney	-33.86785	151.20732	AU	4627345
Surfers Paradise	Surfers Paradise	-28.00274	153.42999	AU	18501
Sunnybank	Sunnybank	-27.58333	153.05	AU	16442
Sunbury	Sunbury	-37.57742	144.72607	AU	29925
Port Stephens	Port Stephens	-32.71314	152.06623	AU	27531
Springvale	Springvale	-37.94853	145.15274	AU	19771
Southport	Southport	-27.96724	153.39796	AU	28315
South Grafton	South Grafton	-29.7076	152.92627	AU	16399
Shepparton	Shepparton	-36.38047	145.39867	AU	38773
Seaford	Seaford	-38.1	145.13333	AU	16033
Saint Kilda	Saint Kilda	-37.8676	144.98099	AU	17795
Saint Albans	Saint Albans	-37.73333	144.8	AU	35091
Rowville	Rowville	-37.93333	145.23333	AU	34145
Rockhampton	Rockhampton	-23.38032	150.50595	AU	61724
Richmond	Richmond	-37.81819	145.00176	AU	26121
Reservoir	Reservoir	-37.71667	145	AU	47637
Queanbeyan	Queanbeyan	-35.35493	149.232	AU	40661
Quakers Hill	Quakers Hill	-33.73333	150.88333	AU	25017
Preston	Preston	-37.75	145.01667	AU	29925
Port Macquarie	Port Macquarie	-31.43084	152.90894	AU	41491
Point Cook	Point Cook	-37.91482	144.75088	AU	32413
Pakenham South	Pakenham South	-38.13333	145.51667	AU	32911
Orange	Orange	-33.28397	149.10018	AU	39329
Nowra	Nowra	-34.88422	150.60036	AU	34479
Northcote	Northcote	-37.76667	145	AU	22920
Noble Park	Noble Park	-37.96667	145.16667	AU	28377
